id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,128307,0,283,649,257,304.5,297.5,1.0261759757995605,0.9777748584747314,0,0,672,544
1,8043,0,258,135,83,10.5,314.5,1.0160679817199707,0.9773538708686829,0,0,672,544
2,137721,0,0,671,313,493.5,144.5,1.0119611024856567,0.94288569688797,0,0,672,544
3,16777,481,174,185,178,598.5,314.5,1.0057501792907715,0.9479064345359802,0,0,672,544
4,2135,287,4,60,40,304.5,25.5,1.0038208961486816,0.9860594868659973,0,0,672,544
5,724,366,478,20,62,367.5,501.5,0.9993604421615601,0.9890109896659851,0,0,672,544
6,1221,70,264,69,32,94.5,263.5,0.9992368817329407,0.9789473414421082,0,0,672,544
7,13829,375,4,229,235,430.5,161.5,0.9942409992218018,0.9868506193161011,0,0,672,544
8,1308,594,3,77,24,640.5,8.5,0.9925759434700012,0.9878327250480652,0,0,672,544
9,4277,460,186,54,93,493.5,246.5,0.9918266534805298,0.9757785201072693,0,0,672,544
10,1391,391,3,61,33,430.5,25.5,0.9879494309425354,0.9554770588874817,0,0,672,544
11,1566,0,261,84,23,73.5,280.5,0.9874791502952576,0.9867004156112671,0,0,672,544
12,238,169,240,16,15,178.5,246.5,0.9856939911842346,1.0,0,0,672,544
13,647,296,80,28,109,304.5,110.5,0.9841247797012329,0.9446107745170593,0,0,672,544
14,609,463,222,14,46,472.5,246.5,0.9840930104255676,0.9869281053543091,0,0,672,544
15,1665,0,102,84,26,52.5,110.5,0.983464241027832,0.9886499643325806,0,0,672,544
16,4819,140,205,48,110,178.5,263.5,0.9828240275382996,0.9528647065162659,0,0,672,544
17,2969,508,136,60,67,556.5,144.5,0.9821273684501648,0.9869739413261414,0,0,672,544
18,1251,451,427,63,38,451.5,433.5,0.9818738102912903,0.9865186214447021,0,0,672,544
19,2460,457,271,59,55,493.5,314.5,0.9814352989196777,0.9786720275878906,0,0,672,544
